,metadata_name,num_samplings,num_projects,num_genes,num_percentiles,num_percentiles_expressed,metadata_type
496,Neoplasm,20,1,23206,464120,391004,organism_part
497,Prostate,2,1,21252,42504,42504,organism_part
498,MiddleLobeOfRightLung,2,1,22512,45024,42808,organism_part
499,AscendingColon,3,1,24414,73242,54842,organism_part
500,BoneMarrow,37,12,60875,928600,882257,organism_part
501,Autopod,2,2,14208,27183,27002,organism_part
502,Ileum,2,1,18956,37912,34474,organism_part
503,IsletOfLangerhans,12,2,29514,318600,287540,organism_part
504,AdiposeTissue,5,3,40969,93848,93848,organism_part
505,LaminaPropiaOfSmallIntestine,2,1,13436,26872,26872,organism_part
506,HeadKidney,9,2,21056,163774,144273,organism_part
507,VentralMesenchymalPad,1,1,14259,14259,13709,organism_part
508,SigmoidColon,3,1,24414,73242,65554,organism_part
509,PigmentedLayerOfRetinaAndOpticChoroid,8,1,23748,189984,170824,organism_part
510,CortexOfKidney,2,1,20766,41532,37434,organism_part
511,Thymus,8,3,42840,144732,137088,organism_part
512,Retina,8,3,25793,168822,163366,organism_part
513,Aorta,2,1,17150,34300,34300,organism_part
514,Dermis,12,6,51332,270846,268128,organism_part
515,PeriUrethralMesenchyme,1,1,14259,14259,14137,organism_part
516,Rectum,1,1,18956,18956,18364,organism_part
517,MesentericLymphNode,3,1,18425,55275,51069,organism_part
518,Tonsil,9,3,26644,195083,184928,organism_part
519,LaminaPropriaOfMucosaOfColon,2,1,20638,41276,40737,sampling_site
520,Tongue,8,1,23206,185648,164444,sampling_site
521,Bronchus,1,1,17996,17996,17026,sampling_site
522,,756,150,225778,16649636,14145467,sampling_site
523,Mandible,4,1,23206,92824,68450,sampling_site
524,Tip,1,1,13523,13523,13354,sampling_site
525,IliacCrest,2,1,20801,41602,41602,sampling_site
526,SmallIntestine,2,1,17590,35180,35180,sampling_site
527,RespiratoryAirway,2,1,24376,48752,46779,sampling_site
528,AortaGonadMesonephrosRegion,2,1,20204,40408,40408,sampling_site
529,Larynx,8,1,23206,185648,139308,sampling_site
530,UpperLobeOfLeftLung,2,1,17996,35992,34052,sampling_site
531,WholeCerebralOrganoid,2,1,25592,51184,50968,sampling_site
532,Inflammation,1,1,25194,25194,25056,sampling_site
533,PedalDigit,1,1,13660,13660,13660,sampling_site
534,MaculaLutea,6,2,24355,134602,125177,sampling_site
535,"[""CervicalVertebrae"", ""ThoracicVertebrae""]",5,1,22682,113410,107149,sampling_site
536,Gingiva,4,1,23206,92824,71574,sampling_site
537,LymphNode,1,1,26980,26980,26765,sampling_site
538,CorticalLikeVentricle,8,1,25592,204736,154998,sampling_site
539,Tail,6,2,25181,127956,125604,sampling_site
540,Front,6,1,15438,92628,87030,sampling_site
541,NormalTissue,2,2,27478,48605,39998,sampling_site
542,NormalTissueAdjacentToInflammation,1,1,25194,25194,25012,sampling_site
543,Skin,1,1,26980,26980,19273,sampling_site
544,CaudateLobeOfLiver,1,1,19077,19077,19077,sampling_site
545,Neoplasm,9,3,52606,214272,201439,sampling_site
546,BuccalMucosa,4,1,23206,92824,76132,sampling_site
547,Luminal,1,1,23564,23564,22476,sampling_site
548,OralCavity,8,1,23206,185648,155628,sampling_site
549,NormalTissueAdjacentToNeoplasm,16,4,52757,371744,329523,sampling_site
550,TrailerRegion,4,1,15438,61752,57048,sampling_site
551,NotApplicable,10,5,44314,212783,194275,sampling_site
552,Metastasis,1,1,26063,26063,23297,sampling_site
553,LeaderRegion,4,1,15438,61752,56544,sampling_site
554,Retina,6,2,24355,134602,123883,sampling_site
555,Tumor,17,5,55469,407050,365728,sampling_site
556,NormalTissueAdjacentToTumor,2,2,43844,43844,41891,sampling_site
557,Basal,1,1,23564,23564,23381,sampling_site
558,Bud,1,1,24376,24376,22426,sampling_site
559,Tonsil,4,1,23206,92824,78730,sampling_site
560,,912,168,226443,20108826,17211375,biopsy_site
561,LeftEye,4,1,23748,94992,83058,biopsy_site
562,Eye,4,1,23748,94992,87766,biopsy_site
563,OvarianCortex,1,1,11757,11757,11757,biopsy_site
564,Tumor,2,1,28805,57610,56593,biopsy_site
565,,907,162,226421,20010671,17103997,metastatic_site
566,AsciticFluid,2,1,21725,43450,43450,metastatic_site
567,Brain,2,1,22512,45024,41882,metastatic_site
568,InTransitMetastasis,1,1,22692,22692,22692,metastatic_site
569,PleuralEffusion,1,1,25757,25757,25160,metastatic_site
570,Lung,1,1,20211,20211,20073,metastatic_site
571,LymphNode,3,2,26865,68261,66984,metastatic_site
572,SubcutaneousMetastasis,1,1,21852,21852,21852,metastatic_site
573,Alveolus,2,1,22512,45024,42360,metastatic_site
574,NotApplicable,3,2,23423,65235,62099,metastatic_site
